;F-stat;p_values
0;291.97241141426576;0.0
1;374.83439983739004;0.0
2;280.0030153079418;0.0
3;304.27484858454653;0.0
4;382.2038345041993;0.0
5;272.23106318575435;0.0
6;261.8912188871739;0.0
7;440.8738527179898;0.0
8;278.56180554188256;0.0
9;489.004623877366;0.0
10;371.6430138172602;0.0
11;234.10920301613768;0.0
12;587.4154402539718;0.0
13;717.2328517401739;0.0
14;226.951464734658;0.0
15;531.0158071785715;0.0
16;322.21544273592787;0.0
17;535.3957007081549;0.0
18;461.0228813411718;0.0
19;900.3749207265463;0.0
20;244.45894735808125;0.0
21;367.1780937032357;0.0
22;182.95862610948862;0.0
23;290.6674814565933;0.0
24;541.079898570682;0.0
25;162.9138550588617;0.0
26;215.26222647244288;0.0
27;253.06696359553874;0.0
28;266.201532665599;0.0
29;535.8874458427881;0.0
30;1255.5830459271342;0.0
31;220.28467379345662;0.0
32;341.3075449338213;0.0
33;283.34356421625426;0.0
34;219.14677668581942;0.0
35;170.15198213720006;0.0
36;542.5895287443415;0.0
37;237.8743024154671;0.0
38;491.06254364921745;0.0
39;371.2296446969457;0.0
40;240.07882119586074;0.0
41;753.2844860267021;0.0
42;176.60494665015713;0.0
43;616.1271263336502;0.0
44;518.4905681610849;0.0
45;516.62819175355;0.0
46;170.69471130182404;0.0
47;231.19500956421336;0.0
48;293.7610378406451;0.0
49;197.13874206432283;0.0
50;264.3377760024527;0.0
51;245.2464359370432;0.0
52;473.32201599632145;0.0
53;254.05832222274242;0.0
54;551.4661391940385;0.0
55;158.0958128870661;0.0
56;222.63049785467783;0.0
57;587.8037008036738;0.0
58;271.9810108503669;0.0
59;384.74165661121515;0.0
60;604.9954235497313;0.0
61;288.7044605628099;0.0
62;350.4569081283818;0.0
63;239.41501859298072;0.0
64;194.30863053776767;0.0
65;353.7909261248098;0.0
66;172.35896470701238;0.0
67;236.5316882107047;0.0
68;275.15037741482956;0.0
69;481.57886775963686;0.0
70;223.81598142119725;0.0
71;193.38794145412345;0.0
72;209.188062053738;0.0
73;156.99279176454718;0.0
74;307.06846488438805;0.0
75;196.45515324180462;0.0
76;269.3529899714179;0.0
77;479.0622287974744;0.0
78;289.55607423738013;0.0
79;97.31984171066328;0.0
80;143.9931479255791;0.0
81;155.46320706065313;0.0
82;446.52799084212853;0.0
83;436.6152689285789;0.0
84;297.32755870871443;0.0
85;329.65729655989287;0.0
86;169.59796938812073;0.0
87;519.0037445301426;0.0
88;194.28051699407183;0.0
89;196.5667150985215;0.0
90;321.11943402656226;0.0
91;179.44817825390774;0.0
92;157.93852275835496;0.0
93;415.2412652987393;0.0
94;215.59096250154732;0.0
95;358.9296733776906;0.0
96;185.88829415757365;0.0
97;80.44326902816402;0.0
98;298.0320193262463;0.0
99;402.08203840963284;0.0
100;219.12235680800154;0.0
101;843.2984695662608;0.0
102;156.69962855690616;0.0
103;561.8323530215054;0.0
104;211.39075612187895;0.0
105;209.4099115777377;0.0
106;576.7807227210687;0.0
107;288.6162632763212;0.0
108;231.71968742454726;0.0
109;515.2152611705902;0.0
110;425.0571827010939;0.0
111;235.03093752040553;0.0
112;165.97755722932172;0.0
113;229.16491173207547;0.0
114;186.47813643415523;0.0
115;375.5789184664576;0.0
116;194.75342565830852;0.0
117;329.7464830956149;0.0
118;506.2868652430737;0.0
119;200.75737965806107;0.0
120;93.94373693676906;0.0
121;298.0603369254382;0.0
122;135.47960028170306;0.0
123;272.7989974511505;0.0
